Source,Season,Production
Wind,Fall,4228
Solar,Winter,5718
Wind,Fall,2948
Wind,Winter,3528
Wind,Spring,7504
Wind,Spring,8561
Solar,Summer,8215
Wind,Summer,3000
Wind,Fall,5084
Wind,Fall,3112
Solar,Winter,6722
Wind,Fall,4362
Wind,Winter,18199
Wind,Spring,2961
Wind,Summer,7448
Wind,Summer,3144
Solar,Spring,9252
Solar,Summer,7935
Wind,Winter,7577
Wind,Winter,10073
Wind,Winter,723
Wind,Fall,1723
Solar,Spring,7864
Solar,Spring,4403
Wind,Summer,3323
Wind,Winter,3658
Wind,Spring,14410
Wind,Winter,9228
Solar,Spring,8484
Wind,Fall,12993
Wind,Fall,4668
Wind,Summer,3220
Wind,Summer,2337
Wind,Spring,3727
Wind,Fall,13837
Solar,Spring,7338
Wind,Summer,7641
Wind,Spring,2453
Solar,Spring,5188
Solar,Summer,8910
Solar,Summer,4731
Wind,Fall,5365
Solar,Spring,7155
Solar,Fall,4121
Wind,Winter,6398
Wind,Fall,2532
Wind,Spring,2493
Wind,Spring,7152
Wind,Fall,3082
Wind,Fall,11398
Wind,Winter,6412
Wind,Summer,3038
Wind,Summer,6305
Wind,Winter,8913
Wind,Summer,1018
Wind,Winter,3930
Wind,Winter,3618
Solar,Winter,1994
Wind,Summer,3054
Solar,Summer,9719
Wind,Winter,16946
Wind,Fall,4621
Solar,Summer,9835
Wind,Summer,3026
Solar,Summer,6208
Wind,Spring,8159
Wind,Spring,2948
Wind,Winter,8507
Wind,Fall,982
Wind,Summer,5766
Wind,Fall,8585
Wind,Fall,8347
Wind,Fall,8309
Wind,Fall,2685
Wind,Fall,3302
Wind,Spring,4435
Solar,Summer,4378
Solar,Winter,4353
Wind,Spring,15456
Wind,Summer,4892
Wind,Winter,9675
Wind,Winter,2685
Solar,Summer,9454
Wind,Summer,2269
Solar,Summer,9397
Wind,Spring,1845
Wind,Summer,6749
Solar,Spring,13786
Wind,Spring,5250
Wind,Winter,7148
Wind,Summer,4706
Wind,Spring,2282
Solar,Summer,11455
Wind,Winter,4570
Wind,Spring,8236
Wind,Spring,7508
Solar,Summer,16160
Wind,Summer,2141
Solar,Fall,3999
Wind,Fall,8855
Wind,Spring,6519
Wind,Fall,16568
Wind,Fall,17124
Wind,Spring,4409
Wind,Fall,10617
Wind,Spring,6907
Wind,Winter,11458
Wind,Winter,8026
Wind,Summer,2990
Wind,Fall,2313
Solar,Summer,6026
Wind,Spring,17308
Solar,Summer,4915
Wind,Fall,4622
Wind,Spring,6534
Wind,Summer,692
Solar,Spring,12441
Wind,Winter,3205
Wind,Fall,6382
Wind,Summer,2819
Wind,Spring,12787
Wind,Winter,2353
Wind,Spring,7071
Wind,Fall,10233
Wind,Summer,2819
Solar,Fall,3708
Wind,Fall,9092
Solar,Winter,3734
Wind,Fall,7419
Solar,Summer,7160
Wind,Fall,13901
Wind,Fall,2675
Wind,Summer,794
Wind,Fall,10916
Solar,Spring,6810
Wind,Fall,4965
Wind,Spring,2294
Wind,Spring,9696
Solar,Winter,4252
Solar,Spring,8491
Wind,Spring,2003
Wind,Winter,6453
Wind,Winter,3521
Wind,Spring,5090
Wind,Fall,6192
Wind,Fall,3461
Solar,Fall,5605
Wind,Fall,399
Solar,Spring,4563
Wind,Winter,2439
Wind,Fall,9228
Wind,Summer,4082
Wind,Fall,22929
Wind,Winter,9131
Wind,Fall,189
Wind,Fall,6796
Wind,Fall,5144
Wind,Spring,6808
Wind,Fall,3819
Wind,Winter,16670
Wind,Summer,631
Wind,Summer,9506
Wind,Summer,1527
Wind,Fall,2667
Wind,Fall,11321
Wind,Summer,940
Wind,Summer,2918
Solar,Summer,7955
Wind,Spring,2321
Solar,Summer,5870
Wind,Spring,13322
Solar,Spring,4018
Wind,Winter,3303
Wind,Fall,2311
Wind,Summer,3618
Wind,Spring,4686
Wind,Winter,9119
Wind,Summer,10186
Wind,Fall,11196
Wind,Winter,2621
Wind,Spring,6475
Wind,Summer,6281
Wind,Spring,8043
Wind,Winter,9372
Wind,Summer,1028
Wind,Spring,7326
Wind,Winter,2207
Wind,Spring,3372
Wind,Winter,19633
Wind,Summer,3155
Wind,Spring,11147
Wind,Spring,15419
Wind,Fall,3577
Wind,Summer,5140
Wind,Spring,7700
Wind,Spring,5469
Wind,Winter,7659
Wind,Fall,556
Wind,Fall,10951
Wind,Summer,5612
Solar,Summer,3790
Wind,Spring,10506
Wind,Winter,3341
Wind,Summer,7096
Wind,Fall,5480
Wind,Summer,2863
Wind,Fall,1689
Wind,Summer,5051
Wind,Summer,1976
Wind,Spring,8226
Wind,Winter,4407
Wind,Winter,5334
Wind,Spring,857
Solar,Summer,4553
Wind,Fall,6398
Wind,Spring,9704
Wind,Winter,4707
Solar,Summer,6729
Wind,Fall,4648
Wind,Winter,2738
Wind,Winter,4819
Wind,Summer,3074
Solar,Winter,4059
Wind,Summer,3591
Wind,Summer,3055
Wind,Winter,1267
Wind,Fall,10069
Wind,Fall,7982
Wind,Winter,11622
Wind,Summer,2047
Wind,Spring,13616
Wind,Winter,13601
Wind,Fall,3374
Wind,Summer,11508
Wind,Winter,7217
Wind,Fall,9712
Wind,Fall,14275
Wind,Spring,9225
Wind,Winter,628
Wind,Winter,6025
Wind,Winter,5346
Wind,Summer,5425
Wind,Fall,5241
Solar,Spring,7025
Wind,Winter,1698
Solar,Fall,8063
Wind,Summer,3116
Solar,Spring,10578
Wind,Winter,8062
Wind,Summer,3373
Wind,Summer,2138
Wind,Fall,6650
Solar,Spring,4171
Wind,Spring,7278
Wind,Fall,10055
Wind,Fall,8680
Wind,Spring,2071
Wind,Winter,2979
Wind,Fall,6949
Wind,Summer,4337
Wind,Winter,13956
Wind,Spring,4692
Wind,Fall,3203
Solar,Fall,5483
Wind,Summer,7045
Wind,Winter,5289
Wind,Summer,2354
Wind,Summer,2617
Wind,Fall,904
Wind,Spring,9355
Wind,Winter,6322
Solar,Summer,4153
Wind,Winter,6361
Solar,Summer,3227
Wind,Summer,5774
Wind,Fall,3071
Wind,Summer,18182
Wind,Summer,4578
Wind,Spring,10808
Wind,Fall,11230
Wind,Winter,15390
Solar,Spring,3951
Wind,Summer,6183
Wind,Summer,2021
Wind,Fall,8243
Wind,Fall,6876
Solar,Summer,2606
Wind,Spring,9366
Wind,Summer,1485
Solar,Fall,5213
Wind,Spring,6188
Solar,Summer,8194
Wind,Spring,2276
Wind,Winter,9434
Wind,Winter,2524
Solar,Spring,4278
Solar,Winter,3789
Wind,Summer,1268
Wind,Winter,6684
Solar,Summer,1797
Wind,Winter,3380
Wind,Spring,8520
Wind,Fall,6073
Wind,Summer,2793
Wind,Spring,2478
Solar,Spring,4624
Wind,Summer,1499
Wind,Fall,2094
Wind,Spring,6184
Wind,Summer,3014
Solar,Spring,4025
Wind,Winter,13135
Wind,Fall,13096
Wind,Summer,2592
Wind,Spring,2083
Wind,Winter,8634
Wind,Winter,5507
Wind,Winter,13277
Wind,Spring,3061
Wind,Summer,3511
Wind,Winter,11252
Wind,Summer,4054
Wind,Spring,3856
Solar,Summer,8997
Wind,Winter,6214
Wind,Fall,5047
Solar,Summer,3901
Wind,Fall,4554
Wind,Winter,8411
Solar,Spring,5832
Wind,Spring,1491
Wind,Summer,10010
Wind,Spring,13175
Wind,Spring,4285
Wind,Winter,13922
Wind,Spring,10445
Wind,Summer,1268
Wind,Spring,10262
Wind,Fall,2586
Wind,Winter,16385
Wind,Winter,3405
Wind,Fall,1654
Wind,Summer,11966
Solar,Summer,3364
Wind,Fall,1404
Wind,Spring,4597
Wind,Winter,2503
Wind,Summer,2239
Wind,Winter,2968
Wind,Summer,3168
Wind,Winter,8437
Solar,Spring,11275
Solar,Winter,5010
Wind,Spring,2188
Wind,Spring,2191
Wind,Fall,6584
Wind,Fall,7395
Wind,Spring,11401
Wind,Summer,3888
Wind,Winter,3896
Wind,Winter,5200
Wind,Summer,8067
Wind,Fall,10010
Wind,Winter,7099
Wind,Spring,8820
Wind,Winter,4677
Wind,Winter,11102
Solar,Spring,10833
Wind,Spring,15504
Wind,Winter,11216
Wind,Spring,3364
Wind,Spring,5506
Wind,Fall,6996
Wind,Winter,12035
Solar,Summer,6901
Wind,Fall,4830
Wind,Summer,2515
Wind,Winter,11261
Wind,Fall,4623
Wind,Summer,5085
Wind,Summer,8918
Wind,Fall,8515
Wind,Summer,10122
Wind,Fall,1637
Wind,Spring,1775
Solar,Summer,6355
Wind,Fall,2673
Wind,Fall,2696
Solar,Summer,6334
Wind,Winter,8156
Wind,Fall,3029
Wind,Fall,705
Wind,Spring,8890
Wind,Fall,2108
Solar,Spring,7184
Wind,Fall,12913
Wind,Fall,5579
Wind,Winter,7964
Wind,Fall,3322
Wind,Winter,7629
Wind,Fall,1087
Wind,Winter,5476
Solar,Summer,8923
Wind,Spring,7895
Solar,Summer,6845
Wind,Fall,1073
Wind,Spring,7431
Wind,Spring,2088
Wind,Spring,3270
Wind,Fall,3223
Wind,Winter,11221
Wind,Spring,2081
Wind,Spring,14741
Wind,Fall,7737
Wind,Spring,13538
Wind,Fall,3702
Solar,Summer,4546
Wind,Spring,7916
Wind,Spring,3264
Solar,Summer,8625
Solar,Summer,4144
Wind,Winter,15539
Wind,Fall,1720
Wind,Fall,5380
Wind,Spring,6418
Wind,Summer,2801
Solar,Fall,7186
Wind,Winter,15819
Wind,Summer,11382
Wind,Spring,9894
Wind,Summer,3765
Wind,Winter,4661
Wind,Fall,1731
Wind,Winter,16403
Wind,Fall,7024
Wind,Fall,13425
Wind,Spring,12405
Solar,Summer,1954
Wind,Spring,7165
Wind,Fall,2214
Wind,Winter,7775
Solar,Spring,6169
Wind,Summer,2257
Wind,Spring,6001
Wind,Summer,4107
Wind,Spring,3587
Wind,Summer,4170
Wind,Fall,3701
Wind,Fall,10307
Wind,Spring,4960
Wind,Summer,963
Wind,Fall,6568
Wind,Summer,3147
Wind,Fall,1309
Wind,Winter,13363
Wind,Spring,4422
Wind,Winter,15941
Wind,Winter,2846
Wind,Spring,10805
Solar,Summer,8815
Wind,Fall,11825
Wind,Spring,2893
Wind,Spring,6849
Solar,Spring,7624
Wind,Fall,5905
Wind,Fall,1798
Wind,Spring,3550
Wind,Winter,8803
Wind,Spring,4808
Wind,Spring,2053
Wind,Spring,7248
Wind,Summer,7218
Wind,Spring,6192
Wind,Summer,14166
Wind,Fall,4044
Wind,Winter,14541
Wind,Fall,6386
Wind,Summer,5411
Wind,Winter,1043
Solar,Spring,5875
Solar,Fall,6213
Wind,Winter,5404
Wind,Spring,8275
Wind,Winter,13886
Wind,Spring,3420
Wind,Winter,3646
Solar,Summer,5731
Wind,Fall,4321
Wind,Spring,3006
Wind,Fall,730
Solar,Summer,8701
Wind,Spring,3351
Wind,Spring,1998
Wind,Winter,2179
Wind,Fall,10599
Wind,Spring,2245
Wind,Fall,1963
Wind,Winter,14332
Wind,Spring,11363
Wind,Summer,9028
Wind,Winter,7243
Wind,Winter,6243
Wind,Summer,6057
Wind,Winter,6822
Wind,Fall,2148
Solar,Summer,7556
Wind,Summer,10494
Wind,Spring,7393
Wind,Winter,9436
Wind,Fall,10840
Wind,Summer,2306
Wind,Winter,12614
Wind,Spring,5325
Wind,Spring,4838
Wind,Spring,3728
Wind,Winter,7023
Wind,Fall,7114
Wind,Spring,4319
Solar,Summer,3435
Wind,Winter,3299
Wind,Spring,9938
Wind,Fall,4512
Wind,Summer,11952
Wind,Summer,2886
Wind,Winter,1809
Wind,Winter,10704
Wind,Spring,1594
Wind,Winter,10646
Wind,Fall,1181
Wind,Summer,3432
Wind,Summer,2514
Wind,Spring,3834
Wind,Spring,2812
Wind,Winter,4165
Wind,Summer,2524
Solar,Winter,5047
Solar,Spring,5004
Wind,Fall,11975
Wind,Winter,11904
Wind,Fall,1402
Wind,Spring,3908
Wind,Fall,6287
Wind,Fall,3805
Wind,Spring,3427
Wind,Spring,2041
Wind,Summer,1744
Wind,Summer,2190
Wind,Fall,6261
Wind,Spring,5113
Wind,Fall,2713
Wind,Spring,8274
Wind,Winter,1705
Wind,Fall,8155
Wind,Spring,772
Wind,Fall,7347
Solar,Summer,8933
Wind,Winter,2633
Wind,Winter,3018
Wind,Winter,14562
Wind,Winter,8585
Solar,Winter,6618
Solar,Spring,7824
Wind,Spring,8861
Wind,Fall,6180
Wind,Winter,2047
Wind,Fall,1443
Wind,Spring,9963
Wind,Spring,4079
Wind,Summer,4401
Wind,Winter,376
Wind,Fall,8295
Wind,Summer,524
Wind,Spring,4244
Wind,Spring,2178
Wind,Winter,13532
Wind,Spring,4225
Wind,Summer,7351
Solar,Fall,5370
Wind,Winter,14158
Wind,Summer,3591
Wind,Summer,5105
Wind,Winter,13835
Wind,Spring,8419
Wind,Spring,14967
Wind,Winter,4207
Wind,Fall,6573
Solar,Spring,8449
Wind,Spring,4156
Solar,Spring,6724
Wind,Fall,7943
Wind,Spring,12236
Wind,Spring,6623
Wind,Spring,3181
Wind,Summer,3818
Wind,Spring,10584
Wind,Fall,2231
Solar,Winter,5898
Wind,Summer,3946
Wind,Fall,12427
Wind,Winter,4378
Solar,Summer,6486
Wind,Fall,5733
Wind,Fall,3184
Wind,Summer,2344
Wind,Fall,5881
Wind,Spring,9412
Wind,Summer,7665
Wind,Fall,12598
Wind,Summer,8892
Wind,Summer,2314
Wind,Summer,1411
Wind,Fall,11434
Wind,Spring,11353
Wind,Fall,11628
Wind,Spring,5536
Wind,Fall,13494
Wind,Fall,10983
Solar,Spring,4597
Wind,Winter,3775
Solar,Summer,6569
Wind,Fall,18020
Solar,Summer,3463
Wind,Winter,2785
Wind,Spring,5440
Wind,Winter,10078
Wind,Fall,12727
Wind,Winter,11947
Solar,Fall,6209
Solar,Spring,5389
Solar,Summer,5511
Wind,Summer,5812
Wind,Summer,12828
Solar,Fall,6478
Wind,Spring,2201
Wind,Winter,7116
Wind,Summer,6027
Solar,Spring,4826
Wind,Summer,8440
Wind,Winter,8031
Solar,Spring,7476
Wind,Spring,1854
Wind,Fall,12571
Wind,Summer,1497
Wind,Summer,2246
Wind,Fall,9657
Wind,Fall,2019
Wind,Spring,1043
Wind,Summer,3833
Solar,Spring,6999
Wind,Fall,2863
Solar,Summer,5827
Solar,Spring,7513
Wind,Fall,1493
Wind,Summer,12039
Wind,Winter,6217
Wind,Spring,4459
Wind,Fall,587
Wind,Winter,10985
Wind,Spring,6132
Wind,Spring,7772
Wind,Fall,4909
Wind,Fall,14684
Wind,Fall,8268
Solar,Summer,10527
Wind,Winter,3967
Wind,Summer,7645
Solar,Spring,4554
Wind,Fall,11671
Wind,Fall,3772
Wind,Winter,11327
Wind,Fall,4090
Wind,Spring,3024
Wind,Winter,3354
Solar,Fall,6517
Wind,Winter,4429
Solar,Winter,5018
Wind,Spring,7764
Wind,Winter,10892
Wind,Winter,6696
Solar,Summer,3022
Wind,Fall,6893
Wind,Fall,4665
Wind,Spring,4834
Wind,Summer,2097
Wind,Summer,9509
Wind,Winter,18051
Wind,Winter,10262
Wind,Summer,3683
Solar,Fall,3556
Wind,Fall,11246
Wind,Summer,3909
Wind,Winter,12987
Wind,Winter,1210
Wind,Winter,9517
Wind,Summer,2408
Wind,Spring,1971
Wind,Fall,1817
Wind,Fall,6659
Wind,Fall,9362
Wind,Winter,7755
Wind,Winter,2518
Solar,Spring,5814
Wind,Fall,12653
Wind,Spring,3354
Wind,Fall,997
Wind,Spring,3177
Wind,Fall,1190
Wind,Winter,9203
Wind,Fall,3478
Wind,Winter,8666
Wind,Spring,8501
Solar,Spring,8613
Wind,Fall,6503
Wind,Spring,12992
Wind,Spring,1644
Wind,Spring,5851
Wind,Summer,9974
Wind,Summer,2047
Wind,Fall,9187
Solar,Summer,2265
Wind,Spring,7361
Wind,Fall,13116
Wind,Summer,1822
Solar,Summer,4870
Solar,Summer,13057
Solar,Summer,2120
Wind,Fall,2511
Wind,Winter,3087
Wind,Summer,8537
Wind,Fall,699
Solar,Summer,4699
Solar,Fall,2486
Wind,Spring,1476
Wind,Spring,3981
Wind,Winter,8363
Wind,Summer,2102
Wind,Winter,9035
Wind,Summer,6325
Wind,Winter,4859
Wind,Spring,11560
Wind,Winter,7101
Wind,Spring,778
Solar,Summer,9090
Wind,Spring,10099
Solar,Spring,7830
Wind,Spring,12881
Wind,Winter,1866
Wind,Spring,10973
Solar,Fall,5193
Solar,Fall,4471
Solar,Winter,5443
Wind,Summer,2449
Wind,Winter,7522
Wind,Spring,9316
Wind,Winter,6777
Wind,Winter,4387
Wind,Winter,7264
Wind,Winter,1935
Wind,Spring,6909
Solar,Summer,3057
Wind,Winter,9945
Wind,Spring,2209
Wind,Winter,10656
Wind,Fall,3695
Solar,Spring,6882
Wind,Summer,185
Wind,Fall,2855
Wind,Spring,9691
Solar,Fall,3044
Wind,Fall,2295
Wind,Spring,2140
Wind,Spring,7679
Wind,Summer,6977
Wind,Spring,15177
Wind,Fall,4486
Wind,Winter,15643
Solar,Summer,7456
Solar,Summer,3007
Wind,Spring,13804
Wind,Spring,2226
Wind,Spring,2579
Wind,Winter,13712
Solar,Summer,9711
Wind,Spring,8031
Wind,Fall,3382
Wind,Spring,3346
Wind,Winter,2096
Wind,Spring,6830
Wind,Summer,6976
Wind,Winter,11476
Wind,Summer,2149
Solar,Summer,5078
Wind,Fall,12274
Wind,Winter,8630
Solar,Summer,9373
Wind,Fall,1027
Wind,Summer,4311
Wind,Winter,12990
Solar,Spring,6255
Wind,Winter,6512
Wind,Winter,12896
Wind,Spring,12379
Wind,Summer,3640
Solar,Summer,4835
Solar,Summer,7071
Wind,Summer,2348
Wind,Winter,9445
Wind,Fall,1168
Wind,Fall,13351
Wind,Spring,3577
Wind,Spring,2626
Wind,Spring,7212
Wind,Summer,4286
Wind,Fall,1147
Solar,Spring,5661
Solar,Summer,10399
Wind,Fall,1898
Wind,Winter,17304
Wind,Spring,3960
Wind,Fall,3900
Wind,Fall,13322
Wind,Fall,13968
Wind,Summer,6914
Wind,Summer,3839
Wind,Spring,9031
Wind,Summer,1787
Wind,Fall,14414
Wind,Winter,3643
Wind,Spring,13594
Wind,Winter,5272
Wind,Fall,4431
Wind,Fall,10550
Wind,Fall,9197
Solar,Fall,11435
Wind,Spring,5647
Solar,Summer,9710
Solar,Summer,5446
Wind,Spring,7922
Wind,Fall,4505
Wind,Spring,7295
Wind,Fall,4294
Wind,Summer,3481
Wind,Winter,7735
Wind,Winter,5019
Wind,Fall,871
Wind,Spring,5274
Wind,Spring,11450
Wind,Spring,15343
Wind,Summer,7420
Wind,Summer,4848
Wind,Spring,1807
Wind,Winter,13127
Wind,Winter,6061
Solar,Spring,12731
Wind,Winter,3446
Wind,Fall,3733
Wind,Spring,4913
Wind,Fall,12708
Wind,Fall,8890
Wind,Spring,8177
Wind,Winter,4070
Wind,Winter,9046
Wind,Summer,16234
Wind,Fall,12858
Solar,Fall,5376
Solar,Summer,6206
Wind,Summer,3516
Wind,Spring,7331
Wind,Fall,4842
Wind,Winter,18044
Wind,Fall,2391
Wind,Winter,7395
Solar,Summer,4324
Wind,Spring,10223
Wind,Fall,8718
Wind,Spring,12448
Wind,Summer,3681
Wind,Fall,3265
Wind,Spring,2756
Wind,Spring,3508
Wind,Summer,2215
Wind,Fall,10753
Solar,Fall,4316
Wind,Spring,6042
Wind,Spring,1977
Wind,Spring,3813
Solar,Spring,3361
Wind,Winter,2940
Solar,Summer,10808
Wind,Fall,2764
Wind,Summer,7973
Wind,Winter,9837
Wind,Fall,9736
Wind,Fall,2980
Solar,Fall,6772
Solar,Spring,5433
Wind,Summer,4447
Solar,Spring,5047
Wind,Fall,6986
Wind,Summer,6839
Wind,Spring,15588
Wind,Spring,10522
Solar,Summer,7380
Solar,Spring,4316
Wind,Spring,2904
Wind,Summer,4511
Wind,Fall,91
Solar,Fall,3501
Wind,Fall,4282
Wind,Spring,2984
Wind,Fall,3047
Solar,Summer,4337
Wind,Winter,3779
Wind,Summer,2570
Solar,Summer,8145
Wind,Winter,11199
Wind,Winter,1051
Wind,Winter,3705
Wind,Fall,8274
Solar,Summer,2289
Solar,Fall,4051
Wind,Winter,5554
Wind,Spring,12639
Wind,Fall,3571
Wind,Summer,2561
Wind,Fall,11102
Wind,Spring,3011
Solar,Summer,2385
Solar,Summer,2124
Wind,Summer,4666
Wind,Spring,2050
Wind,Summer,6195
Solar,Summer,7347
Wind,Summer,3896
Wind,Summer,3182
Wind,Summer,2147
Wind,Winter,998
Wind,Winter,6191
Wind,Summer,981
Wind,Spring,2943
Wind,Fall,7262
Wind,Winter,5746
Wind,Spring,3600
Wind,Summer,8729
Wind,Winter,5719
Wind,Winter,8407
Wind,Spring,4160
Wind,Summer,5928
Wind,Spring,8914
Solar,Summer,8341
Solar,Spring,5410
Solar,Summer,7868
Solar,Summer,3437
Wind,Winter,6776
Wind,Spring,6497
Solar,Summer,5172
Solar,Summer,5919
Wind,Winter,9544
Wind,Spring,3450
Wind,Summer,7517
Wind,Winter,3478
Wind,Fall,1157
Wind,Summer,1055
Wind,Winter,3045
Wind,Summer,5677
Wind,Spring,4738
Wind,Fall,15959
Wind,Summer,3236
Wind,Spring,3151
Wind,Summer,3094
Solar,Summer,5949
Wind,Winter,17121
Wind,Fall,13786
Wind,Summer,3727
Wind,Winter,12111
Wind,Spring,13203
Wind,Winter,1784
Wind,Winter,2214
Wind,Spring,1059
Wind,Fall,10139
Solar,Spring,4067
Wind,Winter,15035
Wind,Summer,2326
Solar,Spring,8025
Wind,Spring,3210
Wind,Spring,1638
Wind,Winter,12401
Wind,Winter,6987
Wind,Summer,2163
Wind,Spring,8828
Wind,Winter,3467
Wind,Winter,11722
Wind,Summer,3035
Wind,Summer,4806
Wind,Spring,3817
Wind,Summer,4893
Solar,Spring,7144
Wind,Winter,5705
Wind,Fall,9330
Solar,Fall,2638
Wind,Winter,8504
Wind,Fall,5746
Wind,Summer,4779
Wind,Spring,11304
Wind,Spring,6113
Wind,Spring,9631
Solar,Fall,5717
Solar,Spring,4347
Wind,Spring,9379
Wind,Winter,2724
Wind,Fall,13237
Wind,Winter,14510
Wind,Winter,5974
Wind,Spring,5354
Wind,Summer,1211
Wind,Spring,6006
Wind,Fall,12713
Wind,Summer,3210
Wind,Summer,1872
Wind,Spring,13020
Wind,Spring,632
Wind,Fall,3759
Solar,Summer,7974
Wind,Summer,1472
Wind,Fall,4179
Solar,Summer,9917
Wind,Summer,7289
Wind,Spring,2157
Wind,Winter,2434
Wind,Fall,19392
Wind,Winter,3899
Wind,Winter,11579
Solar,Summer,5286
Wind,Winter,7785
Wind,Fall,8192
Wind,Fall,3866
Solar,Fall,1713
Wind,Summer,603
Wind,Spring,897
Wind,Spring,3263
Wind,Spring,5947
Solar,Fall,3974
Wind,Fall,1888
Wind,Fall,9730
Wind,Fall,5232
Wind,Spring,2433
Wind,Spring,5222
Wind,Fall,10595
Wind,Spring,6589
Solar,Fall,6409
Wind,Summer,7555
Solar,Winter,4784
Wind,Fall,11731
Wind,Spring,4798
Wind,Fall,7385
Wind,Spring,5855
Wind,Summer,3480
Wind,Winter,2155
Wind,Fall,1951
Solar,Fall,8416
Wind,Spring,6207
Wind,Winter,10239
Wind,Spring,8436
Wind,Spring,7771
Wind,Summer,2236
Wind,Fall,2205
Wind,Fall,5700
Wind,Fall,2657
Wind,Spring,7111
Wind,Fall,11888
Wind,Winter,8676
Solar,Summer,4441
Wind,Winter,13623
Solar,Summer,3922
Wind,Winter,3745
Wind,Spring,11240
Wind,Fall,3208
Wind,Fall,1902
Solar,Fall,9093
Wind,Winter,9136
Wind,Fall,5114
Wind,Summer,2495
Wind,Spring,6597
Solar,Fall,5400
Wind,Spring,14511
Wind,Winter,14481
Wind,Spring,2748
Wind,Spring,3131
Wind,Spring,5460
Wind,Winter,5987
Wind,Winter,5467
Wind,Summer,2381
Wind,Fall,8893
Wind,Winter,3441
Wind,Fall,3213
Solar,Summer,11741
Solar,Summer,8514
Wind,Fall,9911
Wind,Winter,4963
Wind,Winter,13202
Wind,Summer,1029
Wind,Winter,3623
Wind,Spring,10107
Wind,Spring,1227
Wind,Winter,1358
Wind,Fall,3573
Solar,Winter,8762
Wind,Fall,1154
Wind,Fall,1977
Wind,Spring,10880
Wind,Winter,5400
Wind,Winter,11969
Wind,Spring,5520
Wind,Summer,1817
Wind,Summer,1914
Wind,Spring,7329
Wind,Fall,11600
Wind,Fall,3137
Wind,Fall,8685
Wind,Fall,15610
Wind,Summer,1627
Wind,Summer,1674
Wind,Spring,1818
Wind,Fall,7046
Wind,Summer,2587
Wind,Summer,1527
Solar,Spring,10869
Wind,Spring,4853
Wind,Summer,2191
Wind,Spring,2176
Wind,Fall,7931
Wind,Fall,12591
Wind,Fall,8855
Wind,Winter,10495
Wind,Spring,9828
Solar,Spring,8585
Wind,Summer,3214
Wind,Fall,4358
Wind,Winter,7744
Wind,Fall,2599
Wind,Fall,6116
Wind,Winter,9700
Wind,Winter,14222
Wind,Fall,937
Wind,Summer,8615
Wind,Fall,1790
Wind,Winter,3118
Wind,Winter,4018
Wind,Fall,2920
Wind,Summer,2879
Wind,Fall,2233
Wind,Summer,3768
Wind,Summer,3189
Wind,Winter,6407
Wind,Fall,12240
Wind,Fall,7834
Wind,Fall,8784
Wind,Spring,11683
Wind,Fall,10049
Wind,Winter,10894
Wind,Summer,16122
Wind,Fall,13680
Wind,Winter,3931
Wind,Fall,8586
Wind,Winter,3948
Wind,Summer,2522
Wind,Spring,1178
Solar,Fall,4637
Wind,Fall,14551
Wind,Winter,3865
Wind,Fall,20041
Wind,Fall,7638
Wind,Winter,5008
Wind,Fall,2436
Wind,Fall,710
Wind,Winter,5368
Wind,Fall,3142
Wind,Summer,1832
Wind,Spring,9108
Solar,Spring,9902
Solar,Summer,9500
Wind,Winter,3088
Wind,Fall,6021
